Date,Real Yield
1887.03,0.0268093253702962
1887.04,0.02623228729550563
1887.05,0.02052527761542972
1887.06,-0.013833709476904706
1887.07,-0.009139018192799163
1887.08,-0.032981043852839065
1887.09,0.0028050189702070257
1887.1,-0.041036868671659274
1887.11,0.01113089612335099
1887.12,-0.02456637048480532
1888.01,3.46548189460792e-05
1888.02,0.009675568181229117
1888.03,-0.03385975900739688
1888.04,0.019588610681489513
1888.05,0.029545945679877686
1888.06,-0.015419002779751938
1888.07,0.017741179911747586
1888.08,0.025157921067259514
1888.09,0.028401929545052444
1888.1,-0.013503785521992263
1888.11,-0.02813618681721223
1888.12,-0.015355045989643865
1889.01,0.059510735563810035
1889.02,0.027225553628868488
1889.03,-0.005159409368031952
1889.04,0.0017202576234364637
1889.05,0.05623950611256334
